 load, slew_d, slew_clk, process, voltage, temperature, skew_d, setup_skew, hold_skew, ckq_delay, D, Q, D_Q_comparision
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,0.0,-1e-11,6.5e-11,1.5e-10,5.958265e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,0.0,0.0,5.5e-11,1.6e-10,5.960645e-11,1.400000e+00,1.400010e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,0.0,1e-11,4.5e-11,1.7e-10,5.956295e-11,1.400000e+00,1.400012e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,0.0,2e-11,3.5e-11,1.8e-10,5.957817e-11,1.400000e+00,1.400009e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,125.0,-3e-11,8.5e-11,1.3e-10,8.112499e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,125.0,-2e-11,7.5e-11,1.4e-10,8.117304e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,125.0,-1e-11,6.5e-11,1.5e-10,8.116296e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,125.0,0.0,5.5e-11,1.6e-10,8.112323e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,125.0,1e-11,4.5e-11,1.7e-10,8.121917e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,tt,1.400000,125.0,2e-11,3.5e-11,1.8e-10,8.153141e-11,1.400000e+00,1.400000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,0.0,-3e-11,8.7e-11,1.26e-10,1.324346e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,0.0,-2e-11,7.7e-11,1.36e-10,1.324409e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,0.0,-1e-11,6.7e-11,1.46e-10,1.328722e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,0.0,0.0,5.7e-11,1.56e-10,1.335927e-10,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,0.0,1e-11,4.7e-11,1.66e-10,1.350364e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,0.0,2e-11,3.7e-11,1.76e-10,1.418902e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,125.0,-3e-11,8.7e-11,1.26e-10,1.916731e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,125.0,-2e-11,7.7e-11,1.36e-10,1.948219e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,125.0,-1e-11,6.7e-11,1.46e-10,2.032192e-10,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,125.0,0.0,5.7e-11,1.56e-10,2.398166e-10,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,125.0,1e-11,4.7e-11,1.66e-10,0,1.000000e+00,1.296688e-04,mismatch 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.000000,125.0,2e-11,3.7e-11,1.76e-10,0,1.000000e+00,7.488854e-05,mismatch 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,0.0,-3e-11,8.5e-11,1.3e-10,6.739725e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,0.0,-2e-11,7.5e-11,1.4e-10,6.731631e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,0.0,-1e-11,6.5e-11,1.5e-10,6.739782e-11,1.400000e+00,1.400002e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,0.0,0.0,5.5e-11,1.6e-10,6.740167e-11,1.400000e+00,1.400002e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,0.0,1e-11,4.5e-11,1.7e-10,6.739074e-11,1.400000e+00,1.400006e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,0.0,2e-11,3.5e-11,1.8e-10,6.739682e-11,1.400000e+00,1.400018e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,125.0,-3e-11,8.5e-11,1.3e-10,9.092572e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,125.0,-2e-11,7.5e-11,1.4e-10,9.090082e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,125.0,-1e-11,6.5e-11,1.5e-10,9.090549e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,125.0,0.0,5.5e-11,1.6e-10,9.094675e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,125.0,1e-11,4.5e-11,1.7e-10,9.116325e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ss,1.400000,125.0,2e-11,3.5e-11,1.8e-10,9.188431e-11,1.400000e+00,1.400001e+00,match 
1.000000e-14,1.000000e-11,3.000000e-11,ff,1.000000,0.0,-3e-11,8.7e-11,1.26e-10,8.743361e-11,1.000000e+00,1.000001e+00,match 
